row_id,sample_id,split,homonym,judged_meaning,precontext,sentence,ending,example_sentence,choices_json,nonsensical_json,average,stdev,has_ending,story_text,meaning_text,model_input
0,1843,train,potential,the difference in electrical charge between two points in a circuit expressed in volts,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,"She collected a battery reader and looked on earnestly, willing some life back into the old machine.",The circuit has a high potential difference.,"[4, 5, 2, 3, 1]","[false, false, false, false, false]",3.0,1.5811388300841898,True,"Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: She collected a battery reader and looked on earnestly, willing some life back into the old machine.",Homonym: potential. Candidate meaning: the difference in electrical charge between two points in a circuit expressed in volts. Example sentence for this meaning: The circuit has a high potential difference.,"Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: She collected a battery reader and looked on earnestly, willing some life back into the old machine. [SEP] Homonym: potential. Candidate meaning: the difference in electrical charge between two points in a circuit expressed in volts. Example sentence for this meaning: The circuit has a high potential difference."
1,1844,train,potential,the inherent capacity for coming into being,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,"She collected a battery reader and looked on earnestly, willing some life back into the old machine.",The project has great potential for success.,"[5, 3, 4, 4, 3]","[false, false, false, false, false]",3.8,0.8366600265340756,True,"Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: She collected a battery reader and looked on earnestly, willing some life back into the old machine.",Homonym: potential. Candidate meaning: the inherent capacity for coming into being. Example sentence for this meaning: The project has great potential for success.,"Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: She collected a battery reader and looked on earnestly, willing some life back into the old machine. [SEP] Homonym: potential. Candidate meaning: the inherent capacity for coming into being. Example sentence for this meaning: The project has great potential for success."
2,1845,train,potential,the difference in electrical charge between two points in a circuit expressed in volts,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,The machine could make such wonderful clothing if it were in working order.,The circuit has a high potential difference.,"[2, 1, 4, 3, 1]","[false, false, false, false, false]",2.2,1.3038404810405297,True,Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: The machine could make such wonderful clothing if it were in working order.,Homonym: potential. Candidate meaning: the difference in electrical charge between two points in a circuit expressed in volts. Example sentence for this meaning: The circuit has a high potential difference.,Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: The machine could make such wonderful clothing if it were in working order. [SEP] Homonym: potential. Candidate meaning: the difference in electrical charge between two points in a circuit expressed in volts. Example sentence for this meaning: The circuit has a high potential difference.
3,1846,train,potential,the inherent capacity for coming into being,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,The machine could make such wonderful clothing if it were in working order.,The project has great potential for success.,"[4, 5, 5, 3, 5]","[false, false, false, false, false]",4.4,0.8944271909999159,True,Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: The machine could make such wonderful clothing if it were in working order.,Homonym: potential. Candidate meaning: the inherent capacity for coming into being. Example sentence for this meaning: The project has great potential for success.,Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: The machine could make such wonderful clothing if it were in working order. [SEP] Homonym: potential. Candidate meaning: the inherent capacity for coming into being. Example sentence for this meaning: The project has great potential for success.
4,1847,train,potential,the difference in electrical charge between two points in a circuit expressed in volts,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,,The circuit has a high potential difference.,"[1, 1, 4, 4, 3]","[false, false, false, false, false]",2.6,1.51657508881031,False,Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: NO_ENDING,Homonym: potential. Candidate meaning: the difference in electrical charge between two points in a circuit expressed in volts. Example sentence for this meaning: The circuit has a high potential difference.,Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: NO_ENDING [SEP] Homonym: potential. Candidate meaning: the difference in electrical charge between two points in a circuit expressed in volts. Example sentence for this meaning: The circuit has a high potential difference.
5,1848,train,potential,the inherent capacity for coming into being,The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,,The project has great potential for success.,"[5, 4, 3, 4, 5]","[false, false, false, false, false]",4.2,0.8366600265340756,False,Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: NO_ENDING,Homonym: potential. Candidate meaning: the inherent capacity for coming into being. Example sentence for this meaning: The project has great potential for success.,Precontext: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. Ambiguous sentence: The potential couldn't be measured. Ending: NO_ENDING [SEP] Homonym: potential. Candidate meaning: the inherent capacity for coming into being. Example sentence for this meaning: The project has great potential for success.
6,1129,train,base,installation from which a military force initiates operations,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.","Unfortunately, the sentries saw them approaching and shot them all dead.",The troops strategized at their forward base.,"[2, 4, 4, 4, 5]","[false, false, false, false, false]",3.8,1.0954451150103321,True,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: Unfortunately, the sentries saw them approaching and shot them all dead.",Homonym: base. Candidate meaning: installation from which a military force initiates operations. Example sentence for this meaning: The troops strategized at their forward base.,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: Unfortunately, the sentries saw them approaching and shot them all dead. [SEP] Homonym: base. Candidate meaning: installation from which a military force initiates operations. Example sentence for this meaning: The troops strategized at their forward base."
7,1130,train,base,a place that the runner must touch before scoring,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.","Unfortunately, the sentries saw them approaching and shot them all dead.",He slid into third base safely.,"[3, 3, 5, 5, 5]","[false, false, false, false, false]",4.2,1.0954451150103321,True,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: Unfortunately, the sentries saw them approaching and shot them all dead.",Homonym: base. Candidate meaning: a place that the runner must touch before scoring. Example sentence for this meaning: He slid into third base safely.,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: Unfortunately, the sentries saw them approaching and shot them all dead. [SEP] Homonym: base. Candidate meaning: a place that the runner must touch before scoring. Example sentence for this meaning: He slid into third base safely."
8,1131,train,base,installation from which a military force initiates operations,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",It didn't take long for the winning team to get a home run.,The troops strategized at their forward base.,"[2, 1, 1, 1, 2]","[false, false, false, false, false]",1.4,0.5477225575051661,True,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: It didn't take long for the winning team to get a home run.",Homonym: base. Candidate meaning: installation from which a military force initiates operations. Example sentence for this meaning: The troops strategized at their forward base.,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: It didn't take long for the winning team to get a home run. [SEP] Homonym: base. Candidate meaning: installation from which a military force initiates operations. Example sentence for this meaning: The troops strategized at their forward base."
9,1132,train,base,a place that the runner must touch before scoring,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",It didn't take long for the winning team to get a home run.,He slid into third base safely.,"[4, 5, 5, 5, 4]","[false, false, false, false, false]",4.6,0.5477225575051661,True,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: It didn't take long for the winning team to get a home run.",Homonym: base. Candidate meaning: a place that the runner must touch before scoring. Example sentence for this meaning: He slid into third base safely.,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: It didn't take long for the winning team to get a home run. [SEP] Homonym: base. Candidate meaning: a place that the runner must touch before scoring. Example sentence for this meaning: He slid into third base safely."
